Business,Type,Listed address,Phone,Website,Notes
VDP Partners LLC,Insurance / public adjuster,"1310 Elby St, Irving, TX 75061",817-501-8780,vdppartners.com,"Damien Van der Putten, PA. Address is a residence."
Baker Tree Service,Tree trimming,"526 Campana Ct, Irving, TX 75061",(972) 986-7791,treetrimmingirvingtx.com,"James Baker. Est. 1970, Irving Chamber member. Address is a residence."
Sullivan Chimney Sweep,Chimney sweep,"925 Turtle Cv, Irving, TX 75060",817-914-4898,sullivanchimneysweep.com,Luke Sullivan. Address is a residence.
EFI - Environmentally Focused Irrigation,Sprinkler system repair,"1605 W Seventh St, Irving, TX 75060",972-215-7644,efitexas.com,Eddie Herrera. Address is a residence.
A Guaranteed Home Appliance,Appliance repair,"608 Dover Rd, Irving, TX 75060",972-253-3693,,Bill Kurtz. Business address Irving; his own profile lists Carrollton.
